Date,Area,Equipment,Driving End Temp,Driven End Temp,RMS Velocity (mm/s),Peak Acceleration (g),Displacement (µm),Oil Level,Abnormal Sound,Leakage,Observation,Is Running
2024-01-01,Reaction,3-P-101,35.4,53.2,0.1,1.02,714.2,High,No,Yes,Needs Attention,False
2024-01-01,Reaction,3-P-102-A,54.8,52.8,2.3,3.27,272.1,Normal,No,No,Slight Noise,True
2024-01-01,Reaction,3-P-102-B,77.5,50.5,4.2,3.35,348.3,Normal,Yes,Yes,Normal,False
2024-01-01,Reaction,3-P-103-A,51.8,32.8,4.6,3.28,579.5,Low,No,No,Needs Attention,True
2024-01-01,Reaction,3-P-103-B,57.4,35.9,5.8,2.77,86.6,Low,No,No,Normal,True
2024-01-01,Reaction,3-P-201,54.0,42.1,3.3,3.79,196.7,High,No,No,Normal,True
2024-01-01,Reaction,3-P-202,70.3,42.8,0.8,2.24,697.6,Normal,No,No,Needs Attention,True
2024-01-01,Reaction,3-P-203,51.8,53.8,5.9,3.6,630.7,Normal,Yes,No,Slight Noise,True
2024-01-01,Reaction,3-P-204,59.7,43.2,3.9,3.38,560.8,Normal,No,Yes,Needs Attention,True
2024-01-01,Reaction,3-P-205,71.5,51.3,3.1,3.47,680.7,High,No,Yes,Slight Noise,True
2024-01-01,Reaction,3-P-206,64.4,58.3,5.1,0.18,941.8,Low,Yes,Yes,Slight Noise,True
2024-01-01,Reaction,3-P-208,45.1,38.4,2.9,4.75,300.5,Low,No,No,Needs Attention,True
2024-01-01,Reaction,3-P-209,68.2,48.0,2.5,2.02,55.1,Normal,Yes,Yes,Normal,True
2024-01-01,Reaction,3-P-301-A,62.1,48.1,1.6,3.16,841.5,High,No,Yes,Slight Noise,False
2024-01-01,Reaction,3-P-301-B,79.0,50.3,1.4,1.23,368.3,Normal,Yes,Yes,Needs Attention,False
2024-01-01,Reaction,3-P-301-C,72.6,55.1,1.0,4.89,332.4,High,Yes,No,Slight Noise,True
2024-01-01,Reaction,3-K-101-A,36.4,62.2,4.3,3.54,578.3,High,No,No,Needs Attention,False
2024-01-01,Reaction,3-K-101-B,39.1,52.7,3.5,2.06,946.1,High,Yes,No,Normal,True
2024-01-01,Reaction,3-K-301-A,63.5,53.1,3.6,2.04,48.5,High,No,No,Normal,False
2024-01-01,Reaction,3-K-301-B,59.7,45.4,4.8,1.63,529.4,Normal,No,Yes,Normal,True
2024-01-03,Distillation,3-P-901-A,72.9,41.0,2.7,3.56,654.1,Low,No,Yes,Normal,False
2024-01-03,Distillation,3-P-901-B,55.6,66.6,1.7,2.69,245.4,Normal,No,Yes,Normal,True
2024-01-03,Distillation,3-P-902-A,44.6,61.7,5.5,3.95,786.3,Low,Yes,No,Normal,False
2024-01-03,Distillation,3-P-902-B,33.0,42.2,4.7,1.29,848.7,High,No,No,Normal,True
2024-01-03,Distillation,3-P-903-A,56.0,50.7,2.1,2.86,410.1,High,Yes,No,Slight Noise,False
2024-01-03,Distillation,3-P-903-B,38.3,76.1,1.9,0.85,723.6,High,No,Yes,Normal,False
2024-01-03,Distillation,3-P-903-C,68.1,44.6,2.0,2.74,979.3,Low,Yes,Yes,Normal,True
2024-01-03,Distillation,3-P-904-A,71.9,75.4,4.4,3.18,32.2,Low,No,Yes,Needs Attention,False
2024-01-03,Distillation,3-P-904-B,65.7,54.2,0.8,3.27,139.7,High,No,No,Slight Noise,True
2024-01-03,Distillation,3-P-905-A,73.3,58.8,1.4,1.55,188.7,Normal,No,No,Needs Attention,False
2024-01-03,Distillation,3-P-905-B,31.2,45.7,3.3,1.75,853.2,Low,Yes,Yes,Slight Noise,True
2024-01-03,Distillation,3-P-906-A,71.0,74.9,3.0,4.95,110.7,Low,Yes,Yes,Needs Attention,True
2024-01-03,Distillation,3-P-906-B,66.3,56.2,3.4,1.52,828.2,Low,No,No,Normal,True
2024-01-03,Distillation,3-P-907-A,69.1,77.6,5.7,3.94,729.8,Normal,Yes,Yes,Normal,False
2024-01-03,Distillation,3-P-907-B,37.7,70.9,0.1,1.94,352.6,Low,Yes,No,Needs Attention,False
2024-01-05,Finishing,3-P-501-A,42.7,55.4,5.2,4.27,138.6,High,Yes,Yes,Normal,False
2024-01-05,Finishing,3-P-501-B,38.8,52.6,2.2,2.59,895.9,Normal,Yes,Yes,Slight Noise,False
2024-01-05,Finishing,3-P-502-A,46.2,40.7,4.7,3.79,511.3,Low,Yes,No,Normal,False
2024-01-05,Finishing,3-P-502-B,65.5,36.5,5.4,3.27,532.8,Normal,No,No,Slight Noise,False
2024-01-05,Finishing,3-P-503-A,58.2,56.2,3.9,1.91,108.1,Normal,No,Yes,Needs Attention,True
2024-01-05,Finishing,3-P-503-B,69.8,77.6,3.8,4.51,121.6,High,Yes,Yes,Slight Noise,True
2024-01-05,Finishing,3-P-504-A,65.5,30.1,4.0,1.7,84.5,Normal,Yes,No,Needs Attention,True
2024-01-05,Finishing,3-P-504-B,32.1,40.9,5.1,4.47,24.8,High,Yes,No,Normal,True
2024-01-05,Finishing,3-P-601-A,56.8,61.1,1.0,4.15,943.6,High,No,No,Needs Attention,True
2024-01-05,Finishing,3-P-601-B,42.5,73.2,5.6,4.2,376.9,Low,No,Yes,Needs Attention,True
