Date,Area,Equipment,Is Running,High Priority,Driving End Temp,Driven End Temp,RMS Velocity (mm/s),Oil Level,Abnormal Sound,Leakage,Observation,Has Gearbox,Gearbox Temp,Gearbox Oil Level,Gearbox Leakage,Gearbox Abnormal Sound
2024-01-01,Reaction,3-P-101,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-102-A,True,False,66.0,56.7,1.3,High,No,No,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-102-B,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-103-A,True,True,46.6,61.8,1.8,High,No,No,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-103-B,True,False,64.8,59.4,4.6,Normal,Yes,No,"Routine check, no issues",True,59.3,High,Yes,Yes
2024-01-01,Reaction,3-P-201,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-202,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-203,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-204,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-205,True,True,33.0,42.9,2.1,Low,No,Yes,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-206,True,False,65.6,55.7,4.1,Normal,Yes,Yes,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-208,True,True,60.7,48.0,5.0,High,No,Yes,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-209,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-P-301-A,True,False,33.6,31.9,5.3,Normal,Yes,Yes,"Routine check, no issues",False,0.0,,,
2024-01-01,Reaction,3-P-301-B,True,False,46.4,46.9,2.5,High,No,No,"Routine check, no issues",True,54.7,Normal,Yes,Yes
2024-01-01,Reaction,3-P-301-C,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-K-101-A,False,False,0.0,0.0,0.0,N/A,N/A,N/A,N/A,False,0.0,N/A,N/A,N/A
2024-01-01,Reaction,3-K-101-B,True,True,61.7,56.1,4.6,Normal,No,No,"Routine check, no issues",True,60.4,Low,No,Yes
2024-01-03,Distillation,3-P-901-A,True,False,46.9,53.0,2.2,Normal,No,Yes,"Routine check, no issues",True,64.1,Low,Yes,Yes
